    x:          approx:          exact:            relative error(log10)
   0.0010000000    0.017981184   0.0089502117   0.0039012272
   0.0020000000    0.026822772    0.017801417    -0.29518285
   0.0030000000    0.035566339    0.026554603    -0.46933133
   0.0040000000    0.044212862    0.035210742    -0.59233042
   0.0050000000    0.052763306    0.043770802    -0.68730391
   0.0060000000    0.061218627    0.052235739    -0.76455177
   0.0070000000    0.069579771    0.060606498    -0.82956830
   0.0080000000    0.077847676    0.068884017    -0.88563312
   0.0090000000    0.086023270    0.077069223    -0.93486165
    0.010000000    0.094107470    0.085163036    -0.97869827
    0.011000000     0.10210119    0.093166364     -1.0181732
    0.012000000     0.11000532     0.10108011     -1.0540472
    0.013000000     0.11782076     0.10890516     -1.0868978
    0.014000000     0.12554839     0.11664240     -1.1171741
    0.015000000     0.13318909     0.12429270     -1.1452321
    0.016000000     0.14074371     0.13185694     -1.1713588
    0.017000000     0.14821312     0.13933596     -1.1957887
    0.018000000     0.15559817     0.14673061     -1.2187165
    0.019000000     0.16289968     0.15404173     -1.2403049
    0.020000000     0.17011851     0.16127015     -1.2606917
    0.021000000     0.17725545     0.16841671     -1.2799945
    0.022000000     0.18431134     0.17548220     -1.2983145
    0.023000000     0.19128698     0.18246744     -1.3157395
    0.024000000     0.19818317     0.18937323     -1.3323458
    0.025000000     0.20500069     0.19620035     -1.3482005
    0.026000000     0.21174033     0.20294959     -1.3633630
    0.027000000     0.21840287     0.20962173     -1.3778857
    0.028000000     0.22498906     0.21621753     -1.3918153
    0.029000000     0.23149968     0.22273775     -1.4051938
    0.030000000     0.23793548     0.22918314     -1.4180587
    0.031000000     0.24429719     0.23555445     -1.4304438
    0.032000000     0.25058556     0.24185242     -1.4423799
    0.033000000     0.25680131     0.24807776     -1.4538949
    0.034000000     0.26294517     0.25423122     -1.4650139
    0.035000000     0.26901785     0.26031350     -1.4757602
    0.036000000     0.27502007     0.26632531     -1.4861549
    0.037000000     0.28095251     0.27226735     -1.4962176
    0.038000000     0.28681589     0.27814032     -1.5059659
    0.039000000     0.29261087     0.28394490     -1.5154166
    0.040000000     0.29833815     0.28968177     -1.5245847
    0.041000000     0.30399840     0.29535161     -1.5334843
    0.042000000     0.30959229     0.30095509     -1.5421287
    0.043000000     0.31512047     0.30649286     -1.5505299
    0.044000000     0.32058360     0.31196558     -1.5586992
    0.045000000     0.32598232     0.31737389     -1.5666473
    0.046000000     0.33131728     0.32271844     -1.5743839
    0.047000000     0.33658912     0.32799987     -1.5819184
    0.048000000     0.34179845     0.33321879     -1.5892593
    0.049000000     0.34694590     0.33837583     -1.5964147
    0.050000000     0.35203210     0.34347161     -1.6033924
    0.051000000     0.35705764     0.34850674     -1.6101993
    0.052000000     0.36202313     0.35348181     -1.6168424
    0.053000000     0.36692916     0.35839744     -1.6233279
    0.054000000     0.37177634     0.36325420     -1.6296618
    0.055000000     0.37656524     0.36805269     -1.6358499
    0.056000000     0.38129645     0.37279348     -1.6418975
    0.057000000     0.38597054     0.37747715     -1.6478096
    0.058000000     0.39058807     0.38210427     -1.6535911
    0.059000000     0.39514962     0.38667539     -1.6592466
    0.060000000     0.39965573     0.39119109     -1.6647804
    0.061000000     0.40410696     0.39565190     -1.6701966
    0.062000000     0.40850385     0.40005838     -1.6754992
    0.063000000     0.41284696     0.40441106     -1.6806918
    0.064000000     0.41713680     0.40871048     -1.6857781
    0.065000000     0.42137391     0.41295717     -1.6907614
    0.066000000     0.42555882     0.41715166     -1.6956449
    0.067000000     0.42969204     0.42129446     -1.7004318
    0.068000000     0.43377409     0.42538609     -1.7051250
    0.069000000     0.43780548     0.42942706     -1.7097274
    0.070000000     0.44178671     0.43341787     -1.7142415
    0.071000000     0.44571829     0.43735903     -1.7186701
    0.072000000     0.44960070     0.44125101     -1.7230156
